sri,han,bik,
bik,sri,han,chu,nag,jod,jai,
jai,bik,jod,bar,
jod,jai,bik,nag,pal,bar,
nag,bik,chu,sik,jap,ajm,pal,jod,
chu,han,bik,nag,sik,jhu,
han,sri,bik,chu,
jhu,chu,sik,
sik,jhu,chu,nag,jap,
alw,jap,dau,bha,
jap,sik,nag,ajm,ton,sau,dau,alw,
ajm,nag,pal,ray,bhi,ton,jap,
pal,jod,bar,jal,sir,uda,ray,ajm,nag,
bar,jai,jod,pal,jal,
jal,bar,pal,sir,
sir,jal,pal,uda,
ray,pal,uda,chi,bhi,ajm,
bhi,ajm,ray,chi,bun,ton,
ton,jap,ajm,bun,bhi,sau,
dau,alw,jap,sau,kar,bha,
bha,alw,dau,kar,dho,
dho,bha,kar,
kar,dho,bha,dau,sau,
sau,kar,dau,sau,ton,bun,kot,
bun,ton,sau,kot,bhi,
kot,bun,ton,sau,baa,jha,
baa,kot,jha,
jha,kot,baa,
chi,bhi,ray,uda,pra,
uda,sir,pal,ray,chi,pra,ban,dun,
pra,chi,uda,bun,
dun,uda,ban,
ban,dun,uda,pra,
